NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Iowa Montgomery;0.688;0.298;213;7;10239;25005;16.5;27;6.7;244756000000000;10.9;20.9;47886405959;17451325938;26.1;24;18558738885;77023725777;13.9;12.8;42404129794;NA
Iowa Muscatine;0.525;0.454;1620;58;42923;28028;10.5;15.4;3.5;981815000000000;13.1;15.2;25551526494;1529947467;36.5;25.9;21985456502;78786364187;8.2;8.9;42936433134;NA
Iowa O'Brien;0.777;0.208;820;14;13944;32051;9.7;13.3;2.3;245273000000000;7.9;20.6;66273093485;15167175422;28.5;26.7;21000302087;79163384122;8.6;9.9;21890475849;NA
Iowa Osceola;0.808;0.18;319;0;6149;26776;11.4;18.6;1.7;154357000000000;12.4;20.2;58372021046;15741509647;32;22;18774890429;79099662696;7.4;9.5;89781260202;NA
Iowa Page;0.708;0.277;442;0;15393;25739;13.6;18.5;3.9;290722000000000;11.6;20.3;33354255586;16584559529;44.2;27.1;19221080663;78501677169;15.5;12.1;26585397484;NA
Iowa Palo Alto;0.681;0.307;353;2;9110;27902;7.1;10.6;1.3;162363000000000;6.4;21.1;61490287655;14456613479;31.6;26.7;19866105774;78063073093;13.2;9.7;29090509907;NA
Iowa Plymouth;0.741;0.247;1842;31;25027;30686;9.1;14.9;2.9;28942000000000;7.9;17.7;62939245978;14903399724;32.1;28.7;21270834827;80022086081;10.4;9;10254966621;NA
Iowa Pocahontas;0.739;0.244;266;2;6972;27553;13.2;14.1;3.5;122323000000000;6.8;22.4;100;16199204921;37.7;28.9;18627024621;77815350192;10.1;11;11362829345;NA
Iowa Polk;0.414;0.567;20776;290;467235;33524;11.7;16.3;4.7;800369000000000;8.3;11.7;49087404793;14989667142;31.9;19.5;20864766228;7906821534;8.3;11.2;39185600472;38272659941
Iowa Pottawattamie;0.574;0.406;3577;45;93287;29085;11.2;15.4;4.7;98045200000000;10;15.7;26419631164;17173376509;41.1;25.8;21573466301;7777982174;11.8;10.5;37299214838;41351362527
Iowa Poweshiek;0.559;0.425;536;11;18428;27679;10.7;11.7;4.6;318370000000000;6.6;19.3;51993232526;14864329215;31.3;23.7;20695801717;79431113135;8.8;11.2;19929975761;NA
Iowa Ringgold;0.725;0.261;105;2;4986;27621;10.9;8.6;5;943790000000000;9.2;24.9;100;15491939943;32.7;26.3;19053888302;77845249036;9.2;10.6;5931198102;NA
Iowa Sac;0.735;0.251;432;4;9936;29502;9.4;9.8;4;174498000000000;8.3;22.5;100;15087674421;30.6;26.2;21072369091;78286777597;9.4;9.8;50462573591;NA
Iowa Scott;0.471;0.506;5269;45;171493;30798;12.3;16.7;4.2;373543000000000;7;14.4;13510749044;17148112041;33.1;24.5;20916393541;7893016558;11.1;12;49445160689;33306604783
Iowa Shelby;0.693;0.289;427;2;11772;30799;8.7;11;3.7;202174000000000;8.7;22.3;59447686365;14905633336;34.6;25.4;18910061504;80910508562;13.2;9.3;NA;NA
Iowa Sioux;0.827;0.159;2665;17;34692;27339;7.9;9.8;2.2;450874000000000;10.1;14.5;50824827914;13990207008;28.5;18.9;22886159794;83169637157;6.8;7.4;42700979276;NA
Iowa Story;0.399;0.572;4251;18;95888;27392;22;9;4.4;165597000000000;3.7;10.8;16935069576;14928842096;26.2;17.2;23165712268;81981474267;5.6;14.9;14244853199;1500742117
Iowa Tama;0.588;0.396;1053;38;17236;27074;11.8;19.9;3.8;241647000000000;9.4;19.3;72398266449;17300533216;35.4;27.2;20119226906;76902288904;9.3;9.8;32215688728;NA
Iowa Taylor;0.76;0.23;273;2;6214;27344;11;10.9;2.8;116732000000000;9.1;20.8;100;16471293774;32.2;26.2;18832150599;78829633397;11.7;9.5;4061738424;NA
Iowa Union;0.65;0.334;291;5;12497;25098;13.8;16;4.3;295979000000000;8.1;19;39229296314;16191578729;40.6;25;19976115077;77559290605;18.3;11.8;2194119759;NA
Iowa Van Buren;0.755;0.231;202;2;7308;24952;14;27.2;4.8;152231000000000;11.7;20.6;100;15861168148;32.9;23.1;19936728911;76451134436;3.1;10.9;11555978519;NA
Iowa Wapello;0.609;0.373;1661;62;35321;23413;17;21.9;6.3;816090000000000;13.7;16.7;30467368421;19853594219;32.3;26.6;18843393827;76485774186;16.3;12.6;31524687238;48706635873
Iowa Warren;0.573;0.405;1437;7;48630;33013;6.2;7.2;3.8;845340000000000;4.4;14.9;41955651704;14398997612;34;17.5;22283064525;79569314306;10;8.6;33709026988;NA
Iowa Washington;0.592;0.388;729;12;22095;28397;9.1;12.8;3.6;388765000000000;9.2;18.5;6946185035;152801191;34.2;21.4;19659636949;78745596978;11.9;9.7;32161572543;NA
Iowa Wayne;0.753;0.234;161;4;6405;23367;15.9;25.6;2.6;121855000000000;10.8;22.4;100;16933845142;39.1;31.3;18395806772;77900858758;21.2;12;11728829463;NA
Iowa Webster;0.614;0.371;2045;15;36945;24629;16.2;21.8;5.7;517734000000000;9.4;17;33912082709;17004108752;37.5;25;20116949912;76939794372;11.1;13.4;46903170709;38760591332
